LSOA code_2011,IDACI_Decile
E01031349,6
E01031350,4
E01031351,8
E01031352,4
E01031370,6
E01031374,9
E01031338,8
E01031339,6
E01031340,10
E01031365,5
E01031367,9
E01031345,10
E01031353,10
E01031354,6
E01031355,7
E01031359,5
E01031347,2
E01031348,2
E01031366,4
E01031371,3
E01031372,3
E01031373,4
E01031375,6
E01031356,7
E01031357,8
E01031364,4
E01031368,7
E01031369,7
E01031344,5
E01031346,7
E01031361,3
E01031362,5
E01031363,6
E01031358,3
E01031360,2
E01031376,7
E01031378,5
E01031341,2
E01031342,6
E01031343,8
E01031377,3
E01031379,6
E01019126,3
E01019127,7
E01019132,8
E01019134,6
E01019135,3
E01019136,7
E01019137,6
E01019083,9
E01019107,6
E01019130,7
E01019131,9
E01019081,3
E01019082,7
E01019102,6
E01019128,8
E01019133,9
E01019093,6
E01019094,4
E01019096,5
E01019114,6
E01019115,7
E01019095,2
E01019097,1
E01019098,5
E01019099,3
E01019084,6
E01019085,10
E01019086,9
E01019088,8
E01019091,9
E01019078,10
E01019079,9
E01019080,3
E01019087,10
E01019090,10
E01019116,6
E01019118,6
E01019122,2
E01019123,4
E01019124,10
E01019125,9
E01019111,2
E01019112,2
E01019113,1
E01019120,5
E01019121,3
E01019108,3
E01019109,1
E01019110,3
E01019117,7
E01019119,10
E01019089,5
E01019100,7
E01019101,10
E01019129,10
E01019092,9
E01019103,7
E01019104,7
E01019105,9
E01019106,10
E01019400,2
E01019401,4
E01019402,4
E01019404,5
E01019406,7
E01019423,7
E01019424,5
E01019477,7
E01019403,2
E01019444,1
E01019468,2
E01019469,1
E01019471,2
E01019443,8
E01019470,4
E01019473,10
E01019474,10
E01019475,3
E01019476,10
E01019420,3
E01019442,3
E01019445,5
E01019455,6
E01019456,4
E01019457,7
E01019429,8
E01019454,8
E01019460,6
E01019461,6
E01019462,8
E01019405,8
E01019414,8
E01019428,5
E01019430,8
E01019421,5
E01019422,7
E01019432,3
E01019458,3
E01019459,1
E01019463,1
E01019408,6
E01019409,8
E01019412,8
E01019413,9
E01019416,8
E01019407,8
E01019415,8
E01019417,3
E01019419,7
E01019410,7
E01019411,9
E01019418,6
E01019447,9
E01019449,7
E01019431,4
E01019433,4
E01019438,5
E01019451,5
E01019464,8
E01019434,5
E01019435,5
E01019436,5
E01019439,4
E01019440,7
E01019446,7
E01019448,8
E01019450,3
E01019465,4
E01019467,9
E01019425,9
E01019426,8
E01019427,10
E01019472,10
E01019437,4
E01019441,2
E01019452,1
E01019453,2
E01032613,6
E01031390,7
E01031391,9
E01031392,8
E01031465,10
E01031386,4
E01031387,6
E01031425,7
E01031426,5
E01031393,9
E01031394,5
E01031395,9
E01031396,8
E01031397,8
E01031466,8
E01031427,1
E01031429,1
E01031430,3
E01031467,5
E01031468,5
E01031388,7
E01031389,10
E01031414,8
E01031415,4
E01031459,3
E01031470,6
E01031471,5
E01031472,5
E01031473,4
E01031407,6
E01031408,6
E01031410,6
E01031462,8
E01031463,8
E01031464,5
E01031412,10
E01031422,9
E01031423,7
E01031424,9
E01031398,7
E01031399,5
E01031409,3
E01031455,3
E01031461,8
E01031469,4
E01031411,9
E01031413,6
E01031457,6
E01031458,10
E01031460,8
E01031400,5
E01031428,4
E01031454,2
E01031456,3
E01031401,3
E01031402,8
E01031403,5
E01031405,6
E01031406,6
E01031417,6
E01031438,7
E01031439,6
E01031440,8
E01031404,1
E01031433,3
E01031434,5
E01031441,4
E01031442,4
E01031416,10
E01031418,6
E01031419,6
E01031420,8
E01031421,5
E01031443,5
E01031444,4
E01031450,2
E01031451,3
E01031452,7
E01031431,8
E01031432,3
E01031435,5
E01031436,3
E01031437,4
E01031453,4
E01031380,8
E01031381,7
E01031382,6
E01031383,9
E01031384,8
E01031385,6
E01031445,6
E01031446,8
E01031447,9
E01031448,7
E01031449,5
E01027979,5
